Packet_N GL GP  Date     Time    Lat         Long       Mil Spd Course 
00010799 04 07 02/12/11 07:10:00 5542.6618N 03739.9124E 027 000 323.6
00010800 05 07 02/12/11 07:10:05 5542.6617N 03739.9122E 027 000 283.5
00010801 05 07 02/12/11 07:10:10 5542.6617N 03739.9118E 027 000 193.4
00010802 06 07 02/12/11 07:10:15 5542.6617N 03739.9116E 027 000 282.4
00010803 06 07 02/12/11 07:10:20 5542.6616N 03739.9111E 027 000 194.3
00010804 06 08 02/12/11 07:10:25 5542.6615N 03739.9109E 027 000 139.0
00010805 06 08 02/12/11 07:10:30 5542.6615N 03739.9109E 027 000 293.3
00010806 06 07 02/12/11 07:10:35 5542.6616N 03739.9107E 027 000 315.2
00010807 07 07 02/12/11 07:10:40 5542.6618N 03739.9105E 027 000 197.2
00010808 07 07 02/12/11 07:10:46 5542.6618N 03739.9102E 027 000 211.2
00010809 07 07 02/12/11 07:10:51 5542.6619N 03739.9101E 027 000 096.5
00010810 07 07 02/12/11 07:10:56 5542.6619N 03739.9100E 027 000 168.3
00010811 07 07 02/12/11 07:11:01 5542.6620N 03739.9099E 027 000 123.4
00010812 07 07 02/12/11 07:11:06 5542.6620N 03739.9098E 027 000 136.5
00010813 06 07 02/12/11 07:11:11 5542.6621N 03739.9098E 027 000 228.6
00010814 07 06 02/12/11 07:11:16 5542.6623N 03739.9101E 027 000 165.5
00010815 07 07 02/12/11 07:11:21 5542.6624N 03739.9101E 027 000 138.7
00010816 07 07 02/12/11 07:11:26 5542.6625N 03739.9102E 027 000 172.1
00010817 06 07 02/12/11 07:11:31 5542.6625N 03739.9101E 027 000 155.1
00010818 07 07 02/12/11 07:11:36 5542.6625N 03739.9100E 027 000 223.2
00010819 08 07 02/12/11 07:11:41 5542.6624N 03739.9098E 027 000 018.7
00010820 07 07 02/12/11 07:11:46 5542.6623N 03739.9099E 027 000 253.6
00010821 08 06 02/12/11 07:11:51 5542.6622N 03739.9100E 027 000 355.9
00010822 08 06 02/12/11 07:11:57 5542.6621N 03739.9103E 027 000 154.9
00010823 08 06 02/12/11 07:12:02 5542.6620N 03739.9105E 027 000 262.4
00010824 08 06 02/12/11 07:12:07 5542.6620N 03739.9104E 027 000 141.2
00010825 08 06 02/12/11 07:12:12 5542.6621N 03739.9102E 027 000 064.2
00010826 08 06 02/12/11 07:12:17 5542.6621N 03739.9101E 027 000 197.0
00010827 08 06 02/12/11 07:12:22 5542.6621N 03739.9101E 027 000 260.0
00010828 08 07 02/12/11 07:12:27 5542.6622N 03739.9101E 027 000 175.1
00010829 08 06 02/12/11 07:12:32 5542.6621N 03739.9102E 027 000 117.4
00010830 07 06 02/12/11 07:12:37 5542.6620N 03739.9104E 027 000 127.9
00010831 08 08 02/12/11 07:12:42 5542.6620N 03739.9108E 027 000 240.9
00010832 08 08 02/12/11 07:12:47 5542.6620N 03739.9113E 027 000 047.7
00010833 08 06 02/12/11 07:12:52 5542.6621N 03739.9114E 027 000 092.1
00010834 08 07 02/12/11 07:12:57 5542.6621N 03739.9111E 027 000 275.7
00010835 08 07 02/12/11 07:13:02 5542.6622N 03739.9110E 027 000 229.1
00010836 08 06 02/12/11 07:13:08 5542.6623N 03739.9110E 027 000 218.2
00010837 08 07 02/12/11 07:13:13 5542.6623N 03739.9111E 027 000 271.3
00010838 07 07 02/12/11 07:13:18 5542.6624N 03739.9110E 027 000 235.1
00010839 08 07 02/12/11 07:13:23 5542.6625N 03739.9108E 027 000 014.9
00010840 08 07 02/12/11 07:13:28 5542.6626N 03739.9108E 027 000 198.7
00010841 08 07 02/12/11 07:13:33 5542.6626N 03739.9109E 027 000 072.1
00010842 08 07 02/12/11 07:13:38 5542.6626N 03739.9111E 027 000 185.1
00010843 08 06 02/12/11 07:13:43 5542.6626N 03739.9109E 027 000 242.4
00010844 08 08 02/12/11 07:13:48 5542.6627N 03739.9106E 027 000 238.1
00010845 08 08 02/12/11 07:13:53 5542.6626N 03739.9106E 027 000 147.5
00010846 08 07 02/12/11 07:13:58 5542.6626N 03739.9108E 027 000 085.0
00010847 08 07 02/12/11 07:14:03 5542.6626N 03739.9108E 027 000 082.3
00010848 07 08 02/12/11 07:14:08 5542.6626N 03739.9107E 027 000 137.5
00010849 07 07 02/12/11 07:14:13 5542.6625N 03739.9106E 027 000 218.7
00010850 08 08 02/12/11 07:14:19 5542.6624N 03739.9106E 027 000 155.2
00010851 06 07 02/12/11 07:14:24 5542.6624N 03739.9110E 027 000 131.6
00010852 07 07 02/12/11 07:14:29 5542.6624N 03739.9115E 027 000 284.3
00010853 06 07 02/12/11 07:14:34 5542.6624N 03739.9117E 027 000 197.5
00010854 06 07 02/12/11 07:14:39 5542.6624N 03739.9117E 027 000 114.7
00010855 07 07 02/12/11 07:14:44 5542.6624N 03739.9115E 027 000 057.8
00010856 08 07 02/12/11 07:14:49 5542.6625N 03739.9113E 027 000 134.3
00010857 06 06 02/12/11 07:14:54 5542.6625N 03739.9113E 027 000 258.8
00010858 07 07 02/12/11 07:14:59 5542.6626N 03739.9116E 027 000 060.5
00010859 07 07 02/12/11 07:15:04 5542.6628N 03739.9117E 027 000 154.1
00010860 07 07 02/12/11 07:15:09 5542.6629N 03739.9117E 027 000 289.0
00010861 07 07 02/12/11 07:15:14 5542.6631N 03739.9117E 027 000 184.5
00010862 08 07 02/12/11 07:15:19 5542.6631N 03739.9122E 027 000 068.3
00010863 08 07 02/12/11 07:15:25 5542.6631N 03739.9128E 027 000 302.2
00010864 07 08 02/12/11 07:15:30 5542.6632N 03739.9129E 027 000 112.9
00010865 07 07 02/12/11 07:15:35 5542.6631N 03739.9129E 027 000 262.3
00010866 07 07 02/12/11 07:15:40 5542.6632N 03739.9128E 027 000 150.8
00010867 07 07 02/12/11 07:15:45 5542.6633N 03739.9126E 027 000 063.9
00010868 07 07 02/12/11 07:15:50 5542.6633N 03739.9124E 027 000 198.2
00010869 08 05 02/12/11 07:15:55 5542.6633N 03739.9122E 027 000 242.2
00010870 08 06 02/12/11 07:16:00 5542.6633N 03739.9122E 027 000 023.7
00010871 06 07 02/12/11 07:16:05 5542.6632N 03739.9123E 027 000 160.8
00010872 08 06 02/12/11 07:16:10 5542.6631N 03739.9123E 027 000 044.2
00010873 07 06 02/12/11 07:16:15 5542.6631N 03739.9121E 027 000 090.2
00010874 07 08 02/12/11 07:16:20 5542.6629N 03739.9121E 027 000 335.8
00010875 07 08 02/12/11 07:16:25 5542.6628N 03739.9122E 027 000 240.4
00010876 08 07 02/12/11 07:16:31 5542.6627N 03739.9120E 027 000 183.8
00010877 05 06 02/12/11 07:16:36 5542.6626N 03739.9121E 027 000 169.2
00010878 05 06 02/12/11 07:16:41 5542.6626N 03739.9122E 027 000 241.9
00010879 08 07 02/12/11 07:16:46 5542.6626N 03739.9123E 027 000 290.8
00010880 06 08 02/12/11 07:16:51 5542.6626N 03739.9123E 027 000 108.7
00010881 05 08 02/12/11 07:16:56 5542.6625N 03739.9123E 027 000 261.0
00010882 07 08 02/12/11 07:17:01 5542.6624N 03739.9124E 027 000 165.0
00010883 07 08 02/12/11 07:17:06 5542.6624N 03739.9126E 027 000 130.2
00010884 07 04 02/12/11 07:17:11 5542.6623N 03739.9126E 027 000 197.1
00010885 05 04 02/12/11 07:17:16 5542.6623N 03739.9124E 027 000 315.1
00010886 07 05 02/12/11 07:17:21 5542.6623N 03739.9120E 027 000 147.2
00010887 07 07 02/12/11 07:17:26 5542.6623N 03739.9117E 027 000 198.8
00010888 07 07 02/12/11 07:17:31 5542.6622N 03739.9114E 027 000 022.4
00010889 06 08 02/12/11 07:17:36 5542.6621N 03739.9110E 027 000 124.6
00010890 06 08 02/12/11 07:17:42 5542.6622N 03739.9106E 027 000 147.5
00010891 06 07 02/12/11 07:17:47 5542.6624N 03739.9103E 027 000 020.3
00010892 06 08 02/12/11 07:17:52 5542.6625N 03739.9102E 027 000 168.8
00010893 06 08 02/12/11 07:17:57 5542.6625N 03739.9099E 027 000 175.7
00010894 08 07 02/12/11 07:18:02 5542.6625N 03739.9095E 027 000 000.7
00010895 07 08 02/12/11 07:18:07 5542.6624N 03739.9093E 027 000 137.1
00010896 08 07 02/12/11 07:18:12 5542.6624N 03739.9089E 027 000 199.6
00010897 08 07 02/12/11 07:18:17 5542.6625N 03739.9087E 027 000 199.1
00010898 08 07 02/12/11 07:18:22 5542.6626N 03739.9085E 027 000 180.7
00010899 07 07 02/12/11 07:18:27 5542.6627N 03739.9082E 027 000 332.6
00010900 08 07 02/12/11 07:18:32 5542.6627N 03739.9080E 027 000 198.8
00010901 07 07 02/12/11 07:18:37 5542.6627N 03739.9079E 027 000 262.9
00010902 07 07 02/12/11 07:18:42 5542.6626N 03739.9080E 027 000 252.8
00010903 07 07 02/12/11 07:18:47 5542.6624N 03739.9080E 027 000 066.0
00010904 07 07 02/12/11 07:18:53 5542.6621N 03739.9080E 027 000 075.3
00010905 06 07 02/12/11 07:18:58 5542.6620N 03739.9078E 027 000 119.1
00010906 07 07 02/12/11 07:19:03 5542.6620N 03739.9074E 027 000 084.8
00010907 07 08 02/12/11 07:19:08 5542.6619N 03739.9072E 027 000 081.4
00010908 07 07 02/12/11 07:19:13 5542.6619N 03739.9071E 027 000 246.0
